+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
| Ag         |            1 |              0.10853  |                      0.290764  |
| Ag         |            1 |              0.110119 |                      0.139278  |
| Ag         |            1 |              0.106478 |                      0.322235  |
| Ag         |            1 |              0.109133 |                      0.207826  |
| Ag         |            1 |              0.107069 |                      0.343442  |
| Ag         |            1 |              0.110462 |                      0.266065  |
| Ag         |            1 |              0.109602 |                      0.395405  |
| Ag         |            1 |              0.107883 |                      0.42798   |
| Ag         |            1 |              0.110664 |                      0.163735  |
| Ca         |            1 |              0.500204 |                      0.341842  |
| Ca         |            1 |              0.398887 |                      0.24447   |
| Ca         |            1 |              0.404922 |                      0.219834  |
| Ca         |            1 |              0.266606 |                      0.5423    |
| Ca         |            1 |              0.335466 |                      0.481614  |
| Ca         |            1 |              0.300971 |                      0.345702  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.107973 |                      0.0753411 |
| Ag         |            1 |              0.103681 |                      0.48647   |
| Ag         |            1 |              0.106073 |                      0.36778   |
| Ag         |            1 |              0.107736 |                      0.166419  |
| Ag         |            1 |              0.104321 |                      0.302582  |
| Ag         |            1 |              0.106612 |                      0.242939  |
| Ag         |            1 |              0.104873 |                      0.390311  |
| Ag         |            1 |              0.107449 |                      0.241188  |
| Ag         |            1 |              0.106671 |                      0.385519  |
| Ag         |            1 |              0.105284 |                      0.403659  |
| Ag         |            1 |              0.107569 |                      0.162364  |
| Cu         |            1 |              0.295521 |                      0.626662  |
| Cu         |            1 |              0.306377 |                      0.679651  |
| Cu         |            1 |              0.367901 |                      0.571266  |
| Cu         |            1 |              0.487023 |                      0.423847  |
| Cu         |            1 |              0.363409 |                      0.489754  |
| Cu         |            0 |              1.05694  |                      0.287423  |
| Cu         |            0 |              0.895475 |                      0.374204  |
| Cu         |            0 |              0.883496 |                      0.26002   |
| Cu         |            0 |              0.874708 |                      0.96666   |
| Cu         |            0 |              0.945775 |                      0.432198  |
| Cu         |            0 |              0.862701 |                      0.743204  |
| Cu         |            1 |              0.396239 |                      0.177405  |
| Cu         |            1 |              0.337632 |                      0.238561  |
| Cu         |            1 |              0.375807 |                      0.2132    |
| Cu         |            1 |              0.384598 |                      0.302852  |
| Cu         |            1 |              0.389962 |                      0.254724  |
| Cu         |            1 |              0.303879 |                      0.164442  |
| Cu         |            1 |              0.270081 |                      0.35762   |
| Cu         |            1 |              0.242725 |                      0.507009  |
| Cu         |            1 |              0.258508 |                      0.354145  |
| Cu         |            1 |              0.384101 |                      0.157713  |
| Cu         |            1 |              0.35661  |                      0.185227  |
| Cu         |            1 |              0.255052 |                      0.536777  |
| Cu         |            1 |              0.40304  |                      0.250723  |
| Cu         |            1 |              0.330038 |                      0.130295  |
| Cu         |            1 |              0.342702 |                      0.646658  |
| Cu         |            1 |              0.416136 |                      0.282205  |
| Cu         |            1 |              0.27991  |                      0.41583   |
| Cu         |            1 |              0.260384 |                      0.48388   |
| Cu         |            1 |              0.289037 |                      0.59095   |
| Cu         |            1 |              0.2773   |                      0.355585  |
| Cu         |            1 |              0.349755 |                      0.525626  |
| Cu         |            1 |              0.333439 |                      0.19571   |
| Cu         |            1 |              0.308321 |                      0.38148   |
| Cu         |            1 |              0.34634  |                      0.430052  |
| Cu         |            1 |              0.31397  |                      0.563963  |
| Cu         |            1 |              0.318474 |                      0.478757  |
| Cu         |            1 |              0.311406 |                      0.528784  |
| Cu         |            1 |              0.484815 |                      0.535787  |
| Cu         |            1 |              0.326344 |                      0.156401  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.138731 |                       0.101984 |
| Ag         |            1 |              0.130201 |                       0.396338 |
| Ag         |            1 |              0.134449 |                       0.307933 |
| Ag         |            1 |              0.136909 |                       0.16091  |
| Ag         |            1 |              0.131204 |                       0.254441 |
| Ag         |            1 |              0.135326 |                       0.245448 |
| Ag         |            1 |              0.132247 |                       0.271227 |
| Ag         |            1 |              0.137991 |                       0.307479 |
| Ag         |            1 |              0.136428 |                       0.366386 |
| Ag         |            1 |              0.133678 |                       0.467151 |
| Ag         |            1 |              0.138358 |                       0.151815 |
| Fe         |            1 |              0.340086 |                       0.551521 |
| Fe         |            1 |              0.386751 |                       0.322122 |
| Fe         |            1 |              0.3254   |                       0.208233 |
| Fe         |            1 |              0.275085 |                       0.626878 |
| Fe         |            1 |              0.320181 |                       0.504827 |
| Fe         |            1 |              0.291997 |                       0.556215 |
| Fe         |            1 |              0.334546 |                       0.160835 |
| Fe         |            1 |              0.224721 |                       0.405315 |
| Fe         |            1 |              0.28943  |                       0.531625 |
| Fe         |            1 |              0.287889 |                       0.143602 |
| Fe         |            1 |              0.269444 |                       0.668513 |
| Fe         |            1 |              0.323257 |                       0.569633 |
| Fe         |            1 |              0.307435 |                       0.259392 |
| Fe         |            1 |              0.400647 |                       0.257423 |
| Fe         |            1 |              0.347619 |                       0.234847 |
| Fe         |            1 |              0.261806 |                       0.43673  |
| Fe         |            1 |              0.307299 |                       0.343475 |
| Fe         |            1 |              0.290344 |                       0.196906 |
| Fe         |            1 |              0.360272 |                       0.208082 |
| Fe         |            1 |              0.262471 |                       0.609369 |
| Fe         |            1 |              0.258521 |                       0.333611 |
| Fe         |            1 |              0.263054 |                       0.324627 |
| Fe         |            1 |              0.245274 |                       0.272947 |
| Fe         |            1 |              0.552992 |                       0.351979 |
| Fe         |            1 |              0.288865 |                       0.177258 |
| Fe         |            1 |              0.275711 |                       0.599985 |
| Fe         |            1 |              0.261257 |                       0.654345 |
| Fe         |            1 |              0.355958 |                       0.218244 |
| Fe         |            1 |              0.420611 |                       0.319502 |
| Fe         |            1 |              0.436554 |                       0.214044 |
| Fe         |            1 |              0.300342 |                       0.416584 |
| Fe         |            1 |              0.248282 |                       0.47913  |
| Fe         |            1 |              0.275978 |                       0.373535 |
| Fe         |            1 |              0.25254  |                       0.406921 |
| Fe         |            1 |              0.302171 |                       0.196865 |
| Fe         |            1 |              0.297594 |                       0.332023 |
| Fe         |            1 |              0.319311 |                       0.505114 |
| Fe         |            1 |              0.296582 |                       0.281184 |
| Fe         |            1 |              0.297329 |                       0.358067 |
| Fe         |            1 |              0.272855 |                       0.195071 |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.121485 |                      0.0656687 |
| Ag         |            1 |              0.114819 |                      0.395184  |
| Ag         |            1 |              0.118208 |                      0.374825  |
| Ag         |            1 |              0.120161 |                      0.159974  |
| Ag         |            1 |              0.115709 |                      0.364014  |
| Ag         |            1 |              0.118948 |                      0.306345  |
| Ag         |            1 |              0.116447 |                      0.30375   |
| Ag         |            1 |              0.12065  |                      0.241088  |
| Ag         |            1 |              0.119563 |                      0.332325  |
| Ag         |            1 |              0.117375 |                      0.542107  |
| Ag         |            1 |              0.120849 |                      0.131406  |
| Ir         |            1 |              0.267271 |                      0.178671  |
| Ir         |            1 |              0.316005 |                      0.237917  |
| Ir         |            1 |              0.260695 |                      0.114524  |
| Ir         |            1 |              0.249809 |                      0.641798  |
| Ir         |            1 |              0.222485 |                      0.357954  |
| Ir         |            1 |              0.232112 |                      0.57969   |
| Ir         |            1 |              0.270636 |                      0.342718  |
| Ir         |            1 |              0.24574  |                      0.243516  |
| Ir         |            1 |              0.288439 |                      0.127638  |
| Ir         |            1 |              0.236914 |                      0.224195  |
| Ir         |            1 |              0.259646 |                      0.441399  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.112478 |                      0.0481736 |
| Ag         |            1 |              0.106956 |                      0.45549   |
| Ag         |            1 |              0.109978 |                      0.356515  |
| Ag         |            1 |              0.111374 |                      0.153525  |
| Ag         |            1 |              0.10785  |                      0.315602  |
| Ag         |            1 |              0.110547 |                      0.299129  |
| Ag         |            1 |              0.108399 |                      0.378523  |
| Ag         |            1 |              0.111837 |                      0.304234  |
| Ag         |            1 |              0.110963 |                      0.394007  |
| Ag         |            1 |              0.109218 |                      0.424455  |
| Ag         |            1 |              0.111976 |                      0.124052  |
| Mg         |            1 |              0.659032 |                      0.784243  |
| Mg         |            1 |              0.467459 |                      0.470853  |
| Mg         |            1 |              0.478656 |                      0.393241  |
| Mg         |            0 |              0.440252 |                      1.11136   |
| Mg         |            0 |              0.485784 |                      0.966523  |
| Mg         |            1 |              0.427362 |                      0.760269  |
| Mg         |            0 |              0.450493 |                      0.840473  |
| Mg         |            0 |              0.469727 |                      0.841176  |
| Mg         |            0 |              0.519265 |                      0.919612  |
| Mg         |            1 |              0.517097 |                      0.425003  |
| Mg         |            1 |              0.48548  |                      0.745104  |
| Mg         |            1 |              0.764558 |                      0.168765  |
| Mg         |            1 |              0.504674 |                      0.235442  |
| Mg         |            1 |              0.512034 |                      0.135324  |
| Mg         |            1 |              0.593133 |                      0.226345  |
| Mg         |            0 |              1.09257  |                      0.698678  |
| Mg         |            1 |              0.604352 |                      0.31757   |
| Mg         |            1 |              0.537309 |                      0.236745  |
| Mg         |            1 |              0.435907 |                      0.136476  |
| Mg         |            1 |              0.636523 |                      0.312836  |
| Mg         |            0 |              0.396127 |                      0.873291  |
| Mg         |            0 |              0.332978 |                      0.814705  |
| Mg         |            1 |              0.475924 |                      0.354506  |
| Mg         |            0 |              0.355174 |                      0.93767   |
| Mg         |            1 |              0.524167 |                      0.197406  |
| Mg         |            0 |              0.926798 |                      0.392104  |
| Mg         |            1 |              0.35115  |                      0.786415  |
| Mg         |            1 |              0.621562 |                      0.238745  |
| Mg         |            1 |              0.468649 |                      0.236523  |
| Mg         |            1 |              0.50525  |                      0.676894  |
| Mg         |            0 |              1.04389  |                      0.530321  |
| Mg         |            1 |              0.449184 |                      0.471309  |
| Mg         |            0 |              1.43052  |                      0.328807  |
| Mg         |            0 |              0.409302 |                      0.863583  |
| Mg         |            1 |              0.399634 |                      0.584536  |
| Mg         |            0 |              0.870626 |                      0.353906  |
| Mg         |            1 |              0.374214 |                      0.638302  |
| Mg         |            1 |              0.456289 |                      0.340959  |
| Mg         |            1 |              0.437075 |                      0.643916  |
| Mg         |            1 |              0.501409 |                      0.594155  |
| Mg         |            1 |              0.466425 |                      0.571354  |
| Mg         |            1 |              0.451852 |                      0.291123  |
| Mg         |            1 |              0.537426 |                      0.670691  |
| Mg         |            1 |              0.400174 |                      0.634062  |
| Mg         |            1 |              0.487946 |                      0.793946  |
| Mg         |            1 |              0.470999 |                      0.645165  |
| Mg         |            1 |              0.436114 |                      0.228188  |
| Mg         |            1 |              0.397946 |                      0.586332  |
| Mg         |            1 |              0.687144 |                      0.386072  |
| Mg         |            1 |              0.678307 |                      0.480513  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.115855 |                      0.0730419 |
| Ag         |            1 |              0.110048 |                      0.380387  |
| Ag         |            1 |              0.113042 |                      0.343373  |
| Ag         |            1 |              0.114712 |                      0.133244  |
| Ag         |            1 |              0.110851 |                      0.216422  |
| Ag         |            1 |              0.113697 |                      0.234803  |
| Ag         |            1 |              0.111485 |                      0.301217  |
| Ag         |            1 |              0.115161 |                      0.276117  |
| Ag         |            1 |              0.114257 |                      0.33772   |
| Ag         |            1 |              0.112389 |                      0.434331  |
| Ag         |            1 |              0.115359 |                      0.162283  |
| Mo         |            1 |              0.379689 |                      0.162589  |
| Mo         |            1 |              0.550498 |                      0.24602   |
| Mo         |            1 |              0.367867 |                      0.531894  |
| Mo         |            1 |              0.478922 |                      0.463232  |
| Mo         |            1 |              0.494197 |                      0.639701  |
| Mo         |            1 |              0.33868  |                      0.550776  |
| Mo         |            1 |              0.254772 |                      0.675936  |
| Mo         |            1 |              0.355319 |                      0.502083  |
| Mo         |            1 |              0.315296 |                      0.478141  |
| Mo         |            1 |              0.40096  |                      0.279651  |
| Mo         |            1 |              0.280448 |                      0.550364  |
| Mo         |            0 |              0.347314 |                      1.16415   |
| Mo         |            1 |              0.382313 |                      0.309498  |
| Mo         |            1 |              0.43561  |                      0.261958  |
| Mo         |            1 |              0.380456 |                      0.246867  |
| Mo         |            1 |              0.314798 |                      0.563934  |
| Mo         |            1 |              0.320186 |                      0.473723  |
| Mo         |            1 |              0.359965 |                      0.283787  |
| Mo         |            1 |              0.307427 |                      0.577521  |
| Mo         |            1 |              0.393545 |                      0.186668  |
| Mo         |            1 |              0.357292 |                      0.196437  |
| Mo         |            1 |              0.461297 |                      0.202923  |
| Mo         |            1 |              0.337439 |                      0.500654  |
| Mo         |            1 |              0.324499 |                      0.452489  |
| Mo         |            1 |              0.307838 |                      0.477694  |
| Mo         |            0 |              0.380564 |                      1.16184   |
| Mo         |            0 |              0.336204 |                      1.16974   |
| Mo         |            1 |              0.374738 |                      0.281718  |
| Mo         |            1 |              0.402477 |                      0.209143  |
| Mo         |            1 |              0.371802 |                      0.201598  |
| Mo         |            1 |              0.360619 |                      0.202708  |
| Mo         |            0 |              0.361928 |                      1.12579   |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.13082  |                      0.0598068 |
| Ag         |            1 |              0.123287 |                      0.427533  |
| Ag         |            1 |              0.12698  |                      0.431749  |
| Ag         |            1 |              0.129228 |                      0.12391   |
| Ag         |            1 |              0.124125 |                      0.286461  |
| Ag         |            1 |              0.127822 |                      0.327388  |
| Ag         |            1 |              0.125303 |                      0.322452  |
| Ag         |            1 |              0.129813 |                      0.292078  |
| Ag         |            1 |              0.128564 |                      0.286803  |
| Ag         |            1 |              0.126    |                      0.447714  |
| Ag         |            1 |              0.130046 |                      0.181339  |
| Ni         |            1 |              0.507155 |                      0.280016  |
| Ni         |            1 |              0.392735 |                      0.225844  |
| Ni         |            1 |              0.308319 |                      0.688482  |
| Ni         |            1 |              0.284526 |                      0.493037  |
| Ni         |            1 |              0.365001 |                      0.268419  |
| Ni         |            1 |              0.323224 |                      0.302848  |
| Ni         |            1 |              0.401716 |                      0.255595  |
| Ni         |            1 |              0.450433 |                      0.209409  |
| Ni         |            1 |              0.344953 |                      0.358512  |
| Ni         |            1 |              0.387391 |                      0.232562  |
| Ni         |            1 |              0.339631 |                      0.259625  |
| Ni         |            1 |              0.282476 |                      0.374999  |
| Ni         |            1 |              0.278327 |                      0.271562  |
| Ni         |            1 |              0.274186 |                      0.342772  |
| Ni         |            1 |              0.289388 |                      0.287741  |
| Ni         |            1 |              0.304227 |                      0.173267  |
| Ni         |            1 |              0.254295 |                      0.174771  |
| Ni         |            1 |              0.248858 |                      0.373306  |
| Ni         |            1 |              0.221926 |                      0.3423    |
| Ni         |            1 |              0.264597 |                      0.320874  |
| Ni         |            1 |              0.210113 |                      0.325434  |
| Ni         |            1 |              0.293592 |                      0.188806  |
| Ni         |            1 |              0.282315 |                      0.22296   |
| Ni         |            1 |              0.220314 |                      0.373472  |
| Ni         |            1 |              0.300478 |                      0.159946  |
| Ni         |            1 |              0.275191 |                      0.162935  |
| Ni         |            1 |              0.276396 |                      0.575092  |
| Ni         |            1 |              0.370739 |                      0.289397  |
| Ni         |            1 |              0.252411 |                      0.464567  |
| Ni         |            1 |              0.224407 |                      0.468331  |
| Ni         |            1 |              0.237971 |                      0.297712  |
| Ni         |            1 |              0.26865  |                      0.541061  |
| Ni         |            1 |              0.271673 |                      0.154558  |
| Ni         |            1 |              0.238009 |                      0.352591  |
| Ni         |            1 |              0.265926 |                      0.37445   |
| Ni         |            1 |              0.246889 |                      0.478393  |
| Ni         |            1 |              0.260073 |                      0.4272    |
| Ni         |            1 |              0.255341 |                      0.438748  |
| Ni         |            1 |              0.45559  |                      0.168092  |
| Ni         |            1 |              0.277023 |                      0.152106  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.117789 |                      0.0725733 |
| Ag         |            1 |              0.111613 |                      0.432748  |
| Ag         |            1 |              0.114808 |                      0.418898  |
| Ag         |            1 |              0.116582 |                      0.165146  |
| Ag         |            1 |              0.112448 |                      0.334433  |
| Ag         |            1 |              0.115461 |                      0.260357  |
| Ag         |            1 |              0.113137 |                      0.338669  |
| Ag         |            1 |              0.117026 |                      0.260613  |
| Ag         |            1 |              0.116035 |                      0.412239  |
| Ag         |            1 |              0.114026 |                      0.529228  |
| Ag         |            1 |              0.117206 |                      0.133033  |
| Pb         |            1 |              0.255765 |                      0.265609  |
| Pb         |            1 |              0.304486 |                      0.245222  |
| Pb         |            1 |              0.28911  |                      0.211596  |
| Pb         |            1 |              0.210386 |                      0.360676  |
| Pb         |            1 |              0.253723 |                      0.451482  |
| Pb         |            1 |              0.225534 |                      0.347667  |
| Pb         |            1 |              0.264502 |                      0.19193   |
| Pb         |            1 |              0.188236 |                      0.27627   |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.12785  |                      0.0674162 |
| Ag         |            1 |              0.12041  |                      0.37854   |
| Ag         |            1 |              0.124224 |                      0.403053  |
| Ag         |            1 |              0.126373 |                      0.171434  |
| Ag         |            1 |              0.121403 |                      0.303948  |
| Ag         |            1 |              0.125017 |                      0.287873  |
| Ag         |            1 |              0.122246 |                      0.318647  |
| Ag         |            1 |              0.126862 |                      0.25656   |
| Ag         |            1 |              0.12565  |                      0.32462   |
| Ag         |            1 |              0.123268 |                      0.502698  |
| Ag         |            1 |              0.127117 |                      0.14798   |
| Pd         |            1 |              0.225632 |                      0.479397  |
| Pd         |            1 |              0.248557 |                      0.232531  |
| Pd         |            1 |              0.198574 |                      0.263328  |
| Pd         |            0 |              0.86263  |                      0.311857  |
| Pd         |            1 |              0.674434 |                      0.369776  |
| Pd         |            1 |              0.676134 |                      0.254037  |
| Pd         |            1 |              0.667558 |                      0.571192  |
| Pd         |            1 |              0.672883 |                      0.552258  |
| Pd         |            1 |              0.653601 |                      0.700834  |
| Pd         |            1 |              0.769766 |                      0.51769   |
| Pd         |            1 |              0.688067 |                      0.651135  |
| Pd         |            1 |              0.32049  |                      0.324427  |
| Pd         |            1 |              0.31673  |                      0.221983  |
| Pd         |            1 |              0.318099 |                      0.330909  |
| Pd         |            1 |              0.291877 |                      0.164659  |
| Pd         |            1 |              0.255458 |                      0.41643   |
| Pd         |            1 |              0.240864 |                      0.571008  |
| Pd         |            1 |              0.288635 |                      0.297711  |
| Pd         |            1 |              0.247384 |                      0.44209   |
| Pd         |            1 |              0.252279 |                      0.682436  |
| Pd         |            1 |              0.359752 |                      0.137212  |
| Pd         |            1 |              0.297    |                      0.602113  |
| Pd         |            1 |              0.38961  |                      0.320944  |
| Pd         |            1 |              0.265211 |                      0.445231  |
| Pd         |            0 |              0.230031 |                      0.80312   |
| Pd         |            1 |              0.289266 |                      0.780282  |
| Pd         |            1 |              0.259855 |                      0.408202  |
| Pd         |            1 |              0.290623 |                      0.54552   |
| Pd         |            1 |              0.280775 |                      0.454483  |
| Pd         |            0 |              0.279408 |                      0.801678  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Ag         |            1 |              0.135989 |                       0.122893 |
| Ag         |            1 |              0.127079 |                       0.454513 |
| Ag         |            1 |              0.131395 |                       0.347742 |
| Ag         |            1 |              0.133991 |                       0.146647 |
| Ag         |            1 |              0.128059 |                       0.378682 |
| Ag         |            1 |              0.13237  |                       0.263628 |
| Ag         |            1 |              0.129185 |                       0.307759 |
| Ag         |            1 |              0.134769 |                       0.249072 |
| Ag         |            1 |              0.133251 |                       0.368033 |
| Ag         |            1 |              0.130228 |                       0.478745 |
| Ag         |            1 |              0.135103 |                       0.15708  |
| Pt         |            1 |              0.262914 |                       0.617768 |
| Pt         |            1 |              0.256017 |                       0.598126 |
| Pt         |            1 |              0.33402  |                       0.407265 |
| Pt         |            0 |              0.266768 |                       0.840293 |
| Pt         |            1 |              0.303602 |                       0.655203 |
| Pt         |            1 |              0.298581 |                       0.484485 |
| Pt         |            1 |              0.233229 |                       0.624507 |
| Pt         |            0 |              0.266032 |                       0.839816 |
| Pt         |            1 |              0.34804  |                       0.519386 |
| Pt         |            1 |              0.276804 |                       0.265312 |
| Pt         |            1 |              0.263839 |                       0.565306 |
| Pt         |            1 |              0.414462 |                       0.608815 |
| Pt         |            1 |              0.305584 |                       0.363459 |
| Pt         |            1 |              0.404044 |                       0.572572 |
| Pt         |            1 |              0.28503  |                       0.323742 |
| Pt         |            1 |              0.280967 |                       0.60345  |
| Pt         |            1 |              0.264992 |                       0.56128  |
| Pt         |            1 |              0.321381 |                       0.365344 |
| Pt         |            1 |              0.272637 |                       0.611556 |
| Pt         |            1 |              0.313979 |                       0.661765 |
| Pt         |            1 |              0.450023 |                       0.430904 |
